Term,Type,Document_Frequency,Financial_Literacy,Reason
baby,Unigram,372,Regular,
citi,Unigram,372,Regular,
borrow money,Bigram,371,Regular,
load,Unigram,371,Regular,
advantage,Unigram,370,Regular,
damage,Unigram,370,Regular,
add really,Bigram,369,Regular,
card allow,Bigram,369,Regular,
let know,Bigram,369,Regular,
computer,Unigram,368,Regular,
pretty,Unigram,368,Regular,
accomplish,Unigram,366,Regular,
hard work,Bigram,366,Regular,
high balance,Bigram,366,Regular,
money month,Bigram,365,Regular,
good stand,Bigram,364,Regular,
rate lower,Bigram,364,Regular,
book,Unigram,363,Regular,
card card,Bigram,363,Regular,
father,Unigram,363,Regular,
mile,Unigram,363,Regular,
trip,Unigram,363,Regular,
engineer,Unigram,362,Regular,
paycheck,Unigram,362,Regular,
stability,Unigram,362,Regular,
fresh start,Bigram,361,Regular,
pas,Unigram,361,Regular,
majority,Unigram,360,Regular,
add seek,Bigram,359,Regular,
payment late,Bigram,359,Regular,
type,Unigram,359,Regular,
course,Unigram,358,Regular,
make sure,Bigram,358,Regular,
use payoff,Bigram,358,Regular,
mortgage payment,Bigram,356,Regular,
reduce rate,Bigram,356,Regular,
add small,Bigram,355,Regular,
alot,Unigram,355,Regular,
commit,Unigram,355,Regular,
military,Unigram,355,Regular,
need little,Bigram,355,Regular,
product,Unigram,355,Regular,
rate thank,Bigram,355,Regular,
add wish,Bigram,354,Regular,
present,Unigram,354,Regular,
client,Unigram,353,Regular,
consolidate add,Bigram,353,Regular,
add lower,Bigram,352,Regular,
add payment,Bigram,352,Regular,
deck,Unigram,352,Regular,
work job,Bigram,352,Regular,
country,Unigram,351,Regular,
door,Unigram,351,Regular,
make minimum,Bigram,351,Regular,
burden,Unigram,350,Regular,
currently month,Bigram,350,Regular,
website,Unigram,350,Regular,
assure,Unigram,349,Regular,
lease,Unigram,349,Regular,
prepare,Unigram,349,Regular,
understand,Unigram,349,Regular,
build credit,Bigram,347,Regular,
choose,Unigram,347,Regular,
consolidate exist,Bigram,347,Regular,
today,Unigram,347,Regular,
year stable,Bigram,347,Regular,
consolidate current,Bigram,346,Regular,
help make,Bigram,346,Regular,
consolidation high,Bigram,345,Regular,
head,Unigram,345,Regular,
want make,Bigram,345,Regular,
drive,Unigram,344,Regular,
consideration add,Bigram,343,Regular,
contact,Unigram,343,Regular,
apr credit,Bigram,342,Regular,
employ year,Bigram,342,Regular,
card total,Bigram,341,Regular,
economic,Unigram,341,Regular,
like make,Bigram,341,Regular,
real estate,Bigram,341,Regular,
regard,Unigram,341,Regular,
american express,Bigram,340,Regular,
cable,Unigram,340,Regular,
garage,Unigram,340,Regular,
trouble,Unigram,340,Regular,
like high,Bigram,339,Regular,
department,Unigram,338,Regular,
trust,Unigram,337,Regular,
use help,Bigram,337,Regular,
high intrest,Bigram,336,Regular,
hit,Unigram,336,Regular,
bedroom,Unigram,335,Regular,
card able,Bigram,335,Regular,
closer,Unigram,335,Regular,
christmas,Unigram,334,Regular,
difference,Unigram,334,Regular,
haven,Unigram,334,Regular,
yard,Unigram,333,Regular,
long time,Bigram,332,Regular,
matter,Unigram,331,Regular,
promotion,Unigram,330,Regular,
stable employment,Bigram,329,Regular,
struggle,Unigram,329,Regular,
card fix,Bigram,328,Regular,
card start,Bigram,328,Regular,
fix payment,Bigram,328,Regular,
good candidate,Bigram,328,Regular,
worker,Unigram,328,Regular,
answer question,Bigram,327,Regular,
rid high,Bigram,327,Regular,
force,Unigram,326,Regular,
month month,Bigram,326,Regular,
need repair,Bigram,326,Regular,
dont,Unigram,325,Regular,
request consolidate,Bigram,325,Regular,
residence,Unigram,325,Regular,
able save,Bigram,324,Regular,
card plan,Bigram,324,Regular,
card try,Bigram,324,Regular,
sense,Unigram,324,Regular,
add lend,Bigram,323,Regular,
add start,Bigram,323,Regular,
bless,Unigram,323,Regular,
consolidate outstanding,Bigram,323,Regular,
efficient,Unigram,323,Regular,
remain balance,Bigram,323,Regular,
card student,Bigram,322,Regular,
cell,Unigram,322,Regular,
contribute,Unigram,322,Regular,
percentage,Unigram,322,Regular,
personal credit,Bigram,322,Regular,
source,Unigram,322,Regular,
year like,Bigram,322,Regular,
credit line,Bigram,321,Regular,
rebuild,Unigram,321,Regular,
combine credit,Bigram,319,Regular,
rate payment,Bigram,319,Regular,
unexpected expense,Bigram,319,Regular,
community,Unigram,318,Regular,
hire,Unigram,318,Regular,
multiple payment,Bigram,317,Regular,
payment currently,Bigram,317,Regular,
money help,Bigram,316,Regular,
qualify,Unigram,316,Regular,
feel like,Bigram,314,Regular,
just make,Bigram,314,Regular,
low monthly,Bigram,314,Regular,
min,Unigram,314,Regular,
need replace,Bigram,314,Regular,
retail,Unigram,314,Regular,
start business,Bigram,314,Regular,
concern,Unigram,313,Regular,
consolidation lower,Bigram,313,Regular,
home need,Bigram,313,Regular,
mom,Unigram,313,Regular,
payment like,Bigram,313,Regular,
remove,Unigram,313,Regular,
share,Unigram,313,Regular,
thousand,Unigram,313,Regular,
eventually,Unigram,312,Regular,
nurse,Unigram,312,Regular,
payment card,Bigram,312,Regular,
positive,Unigram,312,Regular,
unable,Unigram,312,Regular,
card amp,Bigram,311,Regular,
currently work,Bigram,311,Regular,
fiance,Unigram,311,Regular,
reach goal,Bigram,311,Regular,
total monthly,Bigram,311,Regular,
comfortable,Unigram,310,Regular,
improvement project,Bigram,310,Regular,
multiple credit,Bigram,310,Regular,
need fund,Bigram,310,Regular,
year current,Bigram,310,Regular,
guarantee,Unigram,309,Regular,
age,Unigram,308,Regular,
decent,Unigram,308,Regular,
low rate,Bigram,308,Regular,
percent,Unigram,308,Regular,
make late,Bigram,307,Regular,
online,Unigram,307,Regular,
achieve goal,Bigram,306,Regular,
construction,Unigram,306,Regular,
growth,Unigram,306,Regular,
increase credit,Bigram,306,Regular,
stable income,Bigram,306,Regular,
basically,Unigram,305,Regular,
gross,Unigram,305,Literacy,
land,Unigram,305,Regular,
promote,Unigram,305,Regular,
verify,Unigram,305,Regular,
make money,Bigram,304,Regular,
currently credit,Bigram,303,Regular,
install,Unigram,303,Regular,
space,Unigram,303,Regular,
structure,Unigram,303,Regular,
thank support,Bigram,303,Regular,
world,Unigram,303,Regular,
engagement,Unigram,302,Regular,
gain,Unigram,302,Regular,
graduate school,Bigram,302,Regular,
month ago,Bigram,302,Regular,
steady income,Bigram,302,Regular,
successfully,Unigram,302,Regular,
condo,Unigram,301,Regular,
dental work,Bigram,301,Regular,
use lend,Bigram,301,Regular,
good time,Bigram,300,Regular,
accept,Unigram,299,Regular,
contractor,Unigram,299,Regular,
ease,Unigram,299,Regular,
figure,Unigram,299,Regular,
lower credit,Bigram,299,Regular,
rat high,Bigram,299,Regular,
amex,Unigram,298,Regular,
help save,Bigram,298,Regular,
july,Unigram,298,Regular,
kind,Unigram,298,Regular,
wonderful,Unigram,298,Regular,
year want,Bigram,298,Regular,
highest,Unigram,297,Regular,
immediately,Unigram,297,Regular,
associate,Unigram,296,Regular,
just like,Bigram,296,Regular,
promise,Unigram,296,Regular,
usually,Unigram,296,Regular,
basis,Unigram,295,Regular,
inventory,Unigram,294,Regular,
reduce credit,Bigram,294,Regular,
card order,Bigram,293,Regular,
current payment,Bigram,293,Regular,
long run,Bigram,293,Regular,
really need,Bigram,293,Regular,
research,Unigram,293,Regular,
upcoming,Unigram,293,Regular,
year just,Bigram,293,Regular,
original,Unigram,292,Regular,
add reduce,Bigram,291,Regular,
card accumulate,Bigram,291,Regular,
plan year,Bigram,291,Regular,
story add,Bigram,291,Regular,
time year,Bigram,291,Regular,
transportation,Unigram,291,Regular,
year company,Bigram,291,Regular,
make life,Bigram,289,Regular,
non,Unigram,289,Regular,
year help,Bigram,289,Regular,
car insurance,Bigram,288,Regular,
holiday,Unigram,288,Regular,
lump sum,Bigram,288,Regular,
use home,Bigram,288,Regular,
anticipate,Unigram,287,Regular,
cheaper,Unigram,287,Regular,
com,Unigram,287,Regular,
reduction,Unigram,286,Regular,
unemployed,Unigram,286,Regular,
add business,Bigram,285,Regular,
add great,Bigram,285,Regular,
add wife,Bigram,285,Regular,
card better,Bigram,285,Regular,
divorce,Unigram,285,Regular,
frame,Unigram,285,Regular,
discover card,Bigram,284,Regular,
home add,Bigram,284,Regular,
money save,Bigram,284,Regular,
post,Unigram,284,Regular,
supply,Unigram,284,Regular,
class,Unigram,283,Regular,
end date,Bigram,283,Regular,
improvement add,Bigram,283,Regular,
new year,Bigram,283,Regular,
consolidation home,Bigram,282,Regular,
older,Unigram,282,Regular,
prove,Unigram,282,Regular,
question thank,Bigram,282,Regular,
renovate,Unigram,282,Regular,
truly,Unigram,282,Regular,
card look,Bigram,281,Regular,
fargo,Unigram,281,Regular,
grateful,Unigram,281,Regular,
attend,Unigram,280,Regular,
like lower,Bigram,280,Regular,
stable work,Bigram,280,Regular,
thank opportunity,Bigram,280,Regular,
want rid,Bigram,280,Regular,
winter,Unigram,280,Regular,
make home,Bigram,279,Regular,
software,Unigram,279,Regular,
previously,Unigram,278,Regular,
time credit,Bigram,278,Regular,
doesn,Unigram,277,Regular,
instal,Unigram,277,Regular,
outside,Unigram,277,Regular,
teacher,Unigram,277,Regular,
use card,Bigram,277,Regular,
january,Unigram,276,Regular,
june,Unigram,276,Regular,
credit union,Bigram,275,Regular,
exist lend,Bigram,275,Regular,
boat,Unigram,274,Regular,
current monthly,Bigram,274,Regular,
dent,Unigram,274,Regular,
engagement ring,Bigram,274,Regular,
quick,Unigram,274,Regular,
misc,Unigram,273,Regular,
add family,Bigram,272,Regular,
backyard,Unigram,272,Regular,
grind,Unigram,272,Regular,
regular,Unigram,272,Regular,
lead,Unigram,271,Regular,
payment account,Bigram,271,Regular,
relief,Unigram,271,Regular,
relocation,Unigram,271,Regular,
company work,Bigram,269,Regular,
card single,Bigram,268,Regular,
citibank,Unigram,268,Regular,
delinquent,Unigram,268,Regular,
estimate,Unigram,268,Regular,
saving account,Bigram,268,Regular,
consolidate easy,Bigram,267,Regular,
delinquency,Unigram,267,Regular,
forever,Unigram,267,Regular,
late miss,Bigram,267,Regular,
stable company,Bigram,267,Regular,
add combine,Bigram,266,Regular,
confident,Unigram,266,Regular,
doctor,Unigram,266,Regular,
add employ,Bigram,265,Regular,
peace,Unigram,265,Regular,
job security,Bigram,264,Regular,
expire,Unigram,263,Regular,
payment rate,Bigram,263,Regular,
purchase house,Bigram,263,Regular,
choice,Unigram,262,Regular,
consolidate card,Bigram,262,Regular,
fit,Unigram,262,Regular,
free credit,Bigram,262,Regular,
free month,Bigram,262,Regular,
pocket,Unigram,262,Regular,
seriously,Unigram,262,Regular,
status,Unigram,262,Regular,
add simply,Bigram,261,Regular,
april,Unigram,261,Regular,
balance high,Bigram,261,Regular,
period time,Bigram,261,Regular,
responsible person,Bigram,261,Regular,
electric,Unigram,260,Regular,
pride,Unigram,260,Regular,
quality,Unigram,260,Regular,
tree,Unigram,260,Regular,
allow save,Bigram,258,Regular,
credit good,Bigram,258,Regular,
credit time,Bigram,258,Regular,
organize,Unigram,258,Regular,
really appreciate,Bigram,258,Regular,
sick,Unigram,258,Regular,
thank lend,Bigram,258,Regular,
use higher,Bigram,258,Regular,
card cut,Bigram,257,Regular,
card low,Bigram,257,Regular,
honest,Unigram,257,Regular,
likely,Unigram,257,Regular,
plan free,Bigram,257,Regular,
success,Unigram,257,Regular,
cell phone,Bigram,256,Regular,
public,Unigram,256,Regular,
replacement,Unigram,256,Regular,
thank fund,Bigram,256,Regular,
despite,Unigram,255,Regular,
time work,Bigram,254,Regular,
breathe,Unigram,253,Regular,
expense credit,Bigram,253,Regular,
grad,Unigram,253,Regular,
maintenance,Unigram,253,Regular,
master degree,Bigram,253,Regular,
mention,Unigram,253,Regular,
payment current,Bigram,253,Regular,
road,Unigram,253,Regular,
roughly,Unigram,253,Regular,
sign,Unigram,253,Regular,
train,Unigram,253,Regular,
year good,Bigram,253,Regular,
august,Unigram,252,Regular,
dollar month,Bigram,252,Regular,
energy,Unigram,252,Regular,
near future,Bigram,252,Regular,
pre,Unigram,252,Regular,
tunnel,Unigram,252,Regular,
add couple,Bigram,251,Regular,
december,Unigram,251,Regular,
grocery,Unigram,251,Regular,
payment work,Bigram,251,Regular,
design,Unigram,250,Regular,
help achieve,Bigram,250,Regular,
march,Unigram,250,Regular,
need make,Bigram,250,Regular,
payment life,Bigram,250,Regular,
teach,Unigram,250,Regular,
graduate college,Bigram,249,Regular,
look lower,Bigram,249,Regular,
miss late,Bigram,249,Regular,
operate,Unigram,249,Regular,
partner,Unigram,249,Regular,
time frame,Bigram,249,Regular,
add wed,Bigram,248,Regular,
payment want,Bigram,248,Regular,
consistent,Unigram,247,Regular,
depot,Unigram,247,Regular,
path,Unigram,247,Regular,
slowly,Unigram,247,Regular,
wish consolidate,Bigram,247,Regular,
aside,Unigram,246,Regular,
extra cash,Bigram,246,Regular,
income ratio,Bigram,246,Regular,
light end,Bigram,246,Regular,
little extra,Bigram,246,Regular,
purchase use,Bigram,246,Regular,
serve,Unigram,246,Regular,
time late,Bigram,246,Regular,
like thank,Bigram,245,Regular,
month make,Bigram,245,Regular,
rate currently,Bigram,245,Regular,
roll,Unigram,245,Regular,
fico,Unigram,244,Literacy,
payment reduce,Bigram,244,Regular,
quickly possible,Bigram,244,Regular,
rate help,Bigram,244,Regular,
reasonable rate,Bigram,244,Regular,
time consideration,Bigram,244,Regular,
want lower,Bigram,244,Regular,
definitely,Unigram,243,Regular,
dependable,Unigram,243,Regular,
allow consolidate,Bigram,242,Regular,
sound,Unigram,242,Regular,
home equity,Bigram,241,Regular,
month year,Bigram,241,Regular,
time just,Bigram,241,Regular,
anymore,Unigram,240,Regular,
card easy,Bigram,240,Regular,
home purchase,Bigram,240,Regular,
automatic,Unigram,239,Regular,
home depot,Bigram,239,Regular,
loss,Unigram,239,Regular,
remain credit,Bigram,239,Regular,
asset,Unigram,238,Regular,
cover expense,Bigram,238,Regular,
end tunnel,Bigram,238,Regular,
time time,Bigram,238,Regular,
add close,Bigram,237,Regular,
rsquo,Unigram,237,Regular,
currently make,Bigram,236,Regular,
intention,Unigram,236,Regular,
intrest rate,Bigram,236,Regular,
add hop,Bigram,235,Regular,
legal,Unigram,235,Regular,
little bite,Bigram,235,Regular,
payment free,Bigram,235,Regular,
payment good,Bigram,235,Regular,
bank account,Bigram,234,Regular,
month instead,Bigram,234,Regular,
payment able,Bigram,234,Regular,
advertise,Unigram,233,Regular,
current lend,Bigram,233,Regular,
development,Unigram,233,Regular,
drop,Unigram,233,Regular,
especially,Unigram,233,Regular,
guy,Unigram,233,Regular,
sight,Unigram,233,Regular,
title,Unigram,233,Regular,
bath,Unigram,232,Regular,
card cancel,Bigram,232,Regular,
eliminate high,Bigram,232,Regular,
end year,Bigram,232,Regular,
initial,Unigram,232,Regular,
like add,Bigram,232,Regular,
monthly credit,Bigram,232,Regular,
need high,Bigram,232,Regular,
priority,Unigram,232,Regular,
remodel kitchen,Bigram,232,Regular,
repair home,Bigram,232,Regular,
add excellent,Bigram,231,Regular,
visit,Unigram,231,Regular,
year use,Bigram,231,Regular,
bankruptcy,Unigram,230,Regular,
consistently,Unigram,230,Regular,
want able,Bigram,230,Regular,
add late,Bigram,229,Regular,
appreciate consideration,Bigram,229,Regular,
credit payment,Bigram,229,Regular,
like able,Bigram,229,Regular,
like payment,Bigram,229,Regular,
like payoff,Bigram,229,Regular,
wall,Unigram,229,Regular,
want thank,Bigram,229,Regular,
agree,Unigram,228,Regular,
cabinet,Unigram,228,Regular,
financial obligation,Bigram,228,Regular,
jump,Unigram,228,Regular,
make month,Bigram,228,Regular,
new house,Bigram,228,Regular,
payment car,Bigram,228,Regular,
revenue,Unigram,228,Regular,
year need,Bigram,228,Regular,
fail,Unigram,227,Regular,
involve,Unigram,227,Regular,
primarily,Unigram,227,Regular,
probably,Unigram,227,Regular,
rate make,Bigram,227,Regular,
slow,Unigram,227,Regular,
want add,Bigram,227,Regular,
year late,Bigram,227,Regular,
card incur,Bigram,226,Regular,
desire,Unigram,226,Regular,
employ time,Bigram,226,Regular,
intend use,Bigram,226,Regular,
add reason,Bigram,225,Regular,
add remodel,Bigram,225,Regular,
fully fund,Bigram,225,Regular,
medical credit,Bigram,225,Regular,
payment stable,Bigram,225,Regular,
peer,Unigram,225,Regular,
really help,Bigram,225,Regular,
really like,Bigram,225,Regular,
separate,Unigram,225,Regular,
agency,Unigram,224,Regular,
extend,Unigram,224,Regular,
rack,Unigram,224,Regular,
add card,Bigram,223,Regular,
demand,Unigram,223,Regular,
finance charge,Bigram,223,Regular,
payment job,Bigram,223,Regular,
penalty,Unigram,223,Regular,
settle,Unigram,223,Regular,
improvement home,Bigram,222,Regular,
patio,Unigram,222,Regular,
payment minimum,Bigram,222,Regular,
time monthly,Bigram,222,Regular,
tool,Unigram,222,Regular,
twice,Unigram,222,Regular,
commitment,Unigram,221,Regular,
furnace,Unigram,221,Regular,
little help,Bigram,221,Regular,
make time,Bigram,221,Regular,
rate like,Bigram,221,Regular,
consolidate revolve,Bigram,220,Regular,
expense add,Bigram,220,Regular,
just monthly,Bigram,220,Regular,
lose job,Bigram,220,Regular,
material,Unigram,220,Regular,
plumb,Unigram,220,Regular,
recession,Unigram,220,Regular,
stick,Unigram,220,Regular,
higher apr,Bigram,219,Regular,
mainly,Unigram,219,Regular,
refinance high,Bigram,219,Regular,
tile,Unigram,219,Regular,
account add,Bigram,218,Regular,
add tire,Bigram,218,Regular,
rat like,Bigram,218,Regular,
house need,Bigram,217,Regular,
make year,Bigram,217,Regular,
procedure,Unigram,217,Regular,
rate year,Bigram,217,Regular,
recently purchase,Bigram,217,Regular,
rent utility,Bigram,217,Regular,
save future,Bigram,217,Regular,
september,Unigram,217,Regular,
swim,Unigram,217,Regular,
card purchase,Bigram,216,Regular,
help greatly,Bigram,216,Regular,
manageable payment,Bigram,216,Regular,
new business,Bigram,216,Regular,
october,Unigram,216,Regular,
peace mind,Bigram,216,Regular,
principle,Unigram,216,Regular,
reserve,Unigram,216,Regular,
smart,Unigram,216,Regular,
time make,Bigram,216,Regular,
different credit,Bigram,215,Regular,
file,Unigram,215,Regular,
general,Unigram,215,Regular,
hard time,Bigram,215,Regular,
add debit,Bigram,214,Regular,
card charge,Bigram,214,Regular,
consolidate small,Bigram,214,Regular,
develop,Unigram,214,Regular,
directly,Unigram,214,Regular,
leak,Unigram,214,Regular,
payment lend,Bigram,214,Regular,
want payment,Bigram,214,Regular,
greater,Unigram,213,Regular,
month just,Bigram,213,Regular,
month time,Bigram,213,Regular,
piece,Unigram,213,Regular,
brother,Unigram,212,Regular,
entertainment,Unigram,212,Regular,
fund help,Bigram,212,Regular,
job good,Bigram,212,Regular,
license,Unigram,212,Regular,
maybe,Unigram,212,Regular,
possibly,Unigram,212,Regular,
rate save,Bigram,212,Regular,
tough,Unigram,212,Regular,
card bank,Bigram,211,Regular,
fix monthly,Bigram,211,Regular,
god,Unigram,211,Regular,
highly,Unigram,211,Regular,
job make,Bigram,210,Regular,
occur,Unigram,210,Regular,
description,Unigram,209,Regular,
easy monthly,Bigram,209,Regular,
exceed,Unigram,209,Regular,
hear,Unigram,209,Regular,
helpful,Unigram,209,Regular,
industry year,Bigram,209,Regular,
institution,Unigram,209,Regular,
negative,Unigram,209,Regular,
null add,Bigram,209,Regular,
active,Unigram,208,Regular,
direct,Unigram,208,Regular,
minimum monthly,Bigram,208,Regular,
spring,Unigram,208,Regular,
add eliminate,Bigram,207,Regular,
emergency fund,Bigram,207,Regular,
equal,Unigram,207,Regular,
like refinance,Bigram,207,Regular,
mail,Unigram,207,Regular,
need home,Bigram,207,Regular,
payment easier,Bigram,207,Regular,
special,Unigram,207,Regular,
spread,Unigram,207,Regular,
unexpected medical,Bigram,207,Regular,
year look,Bigram,207,Regular,
year monthly,Bigram,207,Regular,
add replace,Bigram,206,Regular,
need extra,Bigram,206,Regular,
organization,Unigram,206,Regular,
payment better,Bigram,206,Regular,
california,Unigram,205,Regular,
card late,Bigram,205,Regular,
fund thank,Bigram,205,Regular,
intrest credit,Bigram,205,Regular,
rate allow,Bigram,205,Regular,
restaurant,Unigram,205,Regular,
rat add,Bigram,204,Regular,
single monthly,Bigram,204,Regular,
true,Unigram,204,Regular,
year month,Bigram,204,Regular,
card money,Bigram,203,Regular,
consolidate help,Bigram,203,Regular,
consolidate single,Bigram,203,Regular,
senior,Unigram,203,Regular,
thank look,Bigram,203,Regular,
want payoff,Bigram,203,Regular,
excellent payment,Bigram,202,Regular,
income tax,Bigram,202,Regular,
late credit,Bigram,202,Regular,
oppose,Unigram,202,Regular,
profitable,Unigram,202,Regular,
rate high,Bigram,202,Regular,
seven,Unigram,202,Regular,
student credit,Bigram,202,Regular,
time minimum,Bigram,202,Regular,
card stable,Bigram,201,Regular,
clothe,Unigram,201,Regular,
cycle,Unigram,201,Regular,
season,Unigram,201,Regular,
venture,Unigram,201,Regular,
able credit,Bigram,200,Regular,
easier manage,Bigram,200,Regular,
free thank,Bigram,200,Regular,
month rent,Bigram,200,Regular,
rat make,Bigram,200,Regular,
reduce payment,Bigram,200,Regular,
combine payment,Bigram,199,Regular,
solution,Unigram,199,Regular,
target,Unigram,199,Regular,
technology,Unigram,199,Regular,
trailer,Unigram,199,Regular,
circumstance,Unigram,198,Regular,
cushion,Unigram,198,Regular,
daily,Unigram,198,Regular,
florida,Unigram,198,Regular,
job time,Bigram,198,Regular,
play,Unigram,198,Regular,
track record,Bigram,198,Regular,
write,Unigram,198,Regular,
york,Unigram,198,Regular,
add rid,Bigram,197,Regular,
better credit,Bigram,197,Regular,
consolidate account,Bigram,197,Regular,
determine,Unigram,197,Regular,
fund purchase,Bigram,197,Regular,
major credit,Bigram,197,Regular,
new york,Bigram,197,Regular,
pick,Unigram,197,Regular,
rely,Unigram,197,Regular,
time stable,Bigram,197,Regular,
web,Unigram,197,Regular,
add house,Bigram,196,Regular,
form,Unigram,196,Regular,
healthcare,Unigram,196,Regular,
hot,Unigram,196,Regular,
kill,Unigram,196,Regular,
mba,Unigram,196,Regular,
new car,Bigram,196,Regular,
overtime,Unigram,196,Regular,
want buy,Bigram,196,Regular,
account close,Bigram,195,Regular,
allow make,Bigram,195,Regular,
college year,Bigram,195,Regular,
consolidate couple,Bigram,195,Regular,
credit credit,Bigram,195,Regular,
minimal,Unigram,195,Regular,
money high,Bigram,195,Regular,
payment high,Bigram,195,Regular,
steadily,Unigram,195,Regular,
time like,Bigram,195,Regular,
vary,Unigram,195,Regular,
add unexpected,Bigram,194,Regular,
card auto,Bigram,194,Regular,
card current,Bigram,194,Regular,
email,Unigram,194,Regular,
affect,Unigram,193,Regular,
clear credit,Bigram,193,Regular,
extremely stable,Bigram,193,Regular,
help reach,Bigram,193,Regular,
add able,Bigram,192,Regular,
compare,Unigram,192,Regular,
consolidation higher,Bigram,192,Regular,
dedicate,Unigram,192,Regular,
gift,Unigram,192,Regular,
instead multiple,Bigram,192,Regular,
make improvement,Bigram,192,Regular,
model,Unigram,192,Regular,
poor,Unigram,192,Regular,
raise credit,Bigram,192,Regular,
start fresh,Bigram,192,Regular,
add month,Bigram,191,Regular,
position year,Bigram,191,Regular,
swim pool,Bigram,191,Regular,
wood,Unigram,191,Regular,
year currently,Bigram,191,Regular,
check account,Bigram,190,Regular,
major purchase,Bigram,190,Regular,
make easy,Bigram,190,Regular,
add additional,Bigram,189,Regular,
add ask,Bigram,189,Regular,
consolidate save,Bigram,189,Regular,
free add,Bigram,189,Regular,
good income,Bigram,189,Regular,
homeowner,Unigram,189,Regular,
revolve account,Bigram,189,Regular,
substantial,Unigram,189,Regular,
accelerate,Unigram,188,Regular,
additionally,Unigram,188,Regular,
buy car,Bigram,188,Regular,
card college,Bigram,188,Regular,
dear,Unigram,188,Regular,
great deal,Bigram,188,Regular,
rental property,Bigram,188,Regular,
stock,Unigram,188,Regular,
value home,Bigram,188,Regular,
current position,Bigram,187,Regular,
grad school,Bigram,187,Regular,
operation,Unigram,187,Regular,
study,Unigram,187,Regular,
work current,Bigram,187,Regular,
budget month,Bigram,186,Regular,
finish basement,Bigram,186,Regular,
live mean,Bigram,186,Regular,
money make,Bigram,186,Regular,
payment home,Bigram,186,Regular,
practice,Unigram,186,Regular,
rise,Unigram,186,Regular,
want start,Bigram,186,Regular,
notice,Unigram,185,Regular,
problem make,Bigram,185,Regular,
pursue,Unigram,185,Regular,
reflect,Unigram,185,Regular,
simple payment,Bigram,185,Regular,
slightly,Unigram,185,Regular,
specific,Unigram,185,Regular,
submit,Unigram,185,Regular,
add major,Bigram,184,Regular,
balance card,Bigram,184,Regular,
month like,Bigram,184,Regular,
add finish,Bigram,183,Regular,
consolidate remain,Bigram,183,Regular,
cut credit,Bigram,183,Regular,
isn,Unigram,183,Regular,
look purchase,Bigram,183,Regular,
lot money,Bigram,183,Regular,
moment,Unigram,183,Regular,
money long,Bigram,183,Regular,
month help,Bigram,183,Regular,
really want,Bigram,183,Regular,
year half,Bigram,183,Regular,
bachelor,Unigram,182,Regular,
bike,Unigram,182,Regular,
club help,Bigram,182,Regular,
completely free,Bigram,182,Regular,
girlfriend,Unigram,182,Regular,
good stable,Bigram,182,Regular,
rate monthly,Bigram,182,Regular,
add responsible,Bigram,181,Regular,
amaze,Unigram,181,Regular,
care credit,Bigram,181,Regular,
payment consolidate,Bigram,181,Regular,
sorry,Unigram,181,Regular,
year term,Bigram,181,Regular,
add second,Bigram,180,Regular,
add vacation,Bigram,180,Regular,
attorney,Unigram,180,Regular,
lesson,Unigram,180,Regular,
numerous,Unigram,180,Regular,
trade,Unigram,180,Regular,
work capital,Bigram,180,Regular,
card remain,Bigram,179,Regular,
ive,Unigram,179,Regular,
originally,Unigram,179,Regular,
sister,Unigram,179,Regular,
town,Unigram,179,Regular,
consult,Unigram,178,Regular,
finance order,Bigram,178,Regular,
grant,Unigram,178,Regular,
heater,Unigram,178,Regular,
plenty,Unigram,178,Regular,
totally,Unigram,178,Regular,
consolidate order,Bigram,177,Regular,
exception,Unigram,177,Regular,
free money,Bigram,177,Regular,
healthy,Unigram,177,Regular,
largest,Unigram,177,Regular,
like just,Bigram,177,Regular,
make credit,Bigram,177,Regular,
profession,Unigram,177,Regular,
sear,Unigram,177,Regular,
year instead,Bigram,177,Regular,
group,Unigram,176,Regular,
national,Unigram,176,Regular,
normal,Unigram,176,Regular,
payoff higher,Bigram,176,Regular,
able consolidate,Bigram,175,Regular,
add build,Bigram,175,Regular,
add marry,Bigram,175,Regular,
car add,Bigram,175,Regular,
credit balance,Bigram,175,Regular,
fico score,Bigram,175,Regular,
honeymoon,Unigram,175,Regular,
make dent,Bigram,175,Regular,
word,Unigram,175,Regular,
army,Unigram,174,Regular,
fell,Unigram,174,Regular,
funeral,Unigram,174,Regular,
good money,Bigram,174,Regular,
help free,Bigram,174,Regular,
history late,Bigram,174,Regular,
hope help,Bigram,174,Regular,
make progress,Bigram,174,Regular,
mastercard,Unigram,174,Regular,
montly,Unigram,174,Regular,
question feel,Bigram,174,Regular,
sufficient,Unigram,174,Regular,
use proceed,Bigram,174,Regular,
additional fund,Bigram,173,Regular,
card minimum,Bigram,173,Regular,
financial future,Bigram,173,Regular,
financial goal,Bigram,173,Regular,
help lower,Bigram,173,Regular,
make sense,Bigram,173,Regular,
net income,Bigram,173,Regular,
team,Unigram,173,Regular,
auto repair,Bigram,172,Regular,
beautiful,Unigram,172,Regular,
charge card,Bigram,172,Regular,
electrical,Unigram,172,Regular,
fund high,Bigram,172,Regular,
refi,Unigram,172,Regular,
approximately month,Bigram,171,Regular,
consolidate multiple,Bigram,171,Regular,
dog,Unigram,171,Regular,
refinance lower,Bigram,171,Regular,
generate,Unigram,170,Regular,
great opportunity,Bigram,170,Regular,
impact,Unigram,170,Regular,
money buy,Bigram,170,Regular,
